実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"465,071.2 ","252,340.1 ","248,581.6 ","212,803.6 ","33,377.1 ","75,393.7 ","3,963.4 ","70,669.3 ","47,231.9 ",-489.4 ,"-5,582.8 ","34,405.8 ","39,988.6 ","-11,832.0 ",,"16,003.3 ","481,074.5 ","4,171.0 ","14,693.6 ","10,522.6 ","485,245.6 ",,"478,872.3 ","363,831.6 ","115,021.0 ",,"152,879.4 ",,"460,992.5 ",,,
4- 6.,"461,500.8 ","253,545.7 ","249,700.1 ","213,719.8 ","34,755.7 ","74,417.6 ","-2,837.6 ","71,469.7 ","48,079.7 ",559.7 ,"-6,148.3 ","34,611.7 ","40,760.0 ","-12,341.5 ",,"15,428.2 ","476,929.0 ","3,842.5 ","14,641.1 ","10,798.6 ","480,771.5 ",,"475,497.4 ","358,045.2 ","117,531.8 ",,"153,765.3 ",,"463,382.3 ",,,
7- 9.,"466,138.1 ","255,481.3 ","251,662.0 ","215,462.2 ","37,290.9 ","73,966.8 ",-565.9 ,"71,995.3 ","46,324.4 ",761.8 ,"-6,755.6 ","35,232.9 ","41,988.5 ","-12,360.9 ",,"14,868.4 ","481,006.5 ","3,915.3 ","14,971.8 ","11,056.5 ","484,921.8 ",,"480,606.2 ","364,035.0 ","116,586.4 ",,"153,886.0 ",,"465,580.1 ",,,
10-12.,"464,398.7 ","255,654.0 ","251,805.6 ","215,421.4 ","35,860.3 ","74,798.9 ","-1,347.2 ","72,006.9 ","45,549.7 ",796.1 ,"-7,035.6 ","35,379.0 ","42,414.6 ","-11,884.3 ",,"15,216.2 ","479,615.0 ","3,950.6 ","15,502.7 ","11,552.1 ","483,565.6 ",,"478,949.0 ","363,055.7 ","115,900.8 ",,"152,864.0 ",,"464,596.6 ",,,
1995/ 1- 3.,"468,902.1 ","257,638.3 ","253,708.4 ","217,118.0 ","34,856.8 ","75,800.8 ","2,075.4 ","73,872.9 ","43,866.6 ",-111.9 ,"-7,973.2 ","35,829.2 ","43,802.4 ","-11,123.7 ",,"15,527.8 ","484,429.8 ","4,005.0 ","15,793.8 ","11,788.8 ","488,434.9 ",,"484,253.5 ","368,799.3 ","115,410.2 ",,"151,580.4 ",,"466,404.0 ",,,
4- 6.,"473,159.2 ","260,008.9 ","255,982.7 ","219,195.7 ","34,180.7 ","77,998.9 ","1,035.9 ","73,792.6 ","45,607.5 ",191.0 ,"-8,751.5 ","36,383.2 ","45,134.6 ","-10,904.6 ",,"16,224.6 ","489,383.8 ","3,212.0 ","14,983.8 ","11,771.8 ","492,595.8 ",,"489,125.8 ","371,873.0 ","117,227.4 ",,"154,943.9 ",,"471,451.9 ",,,
